"SL","Title","Description Summary","Price","Base Price","Discount Price"," Quantity"," Size"," Condition"," Status"," Is Featured"," Cat ID"," SubCat ID"," ChildCat ID"," Barnd ID"," SKU"," Weight"," Lenght"," Height"," Width"," Is Physical"," Warehouse"," Template"," Backorder"," Discount Option"," SPH"," DIA"," CYL"," AXIS"," RAD"," COLOR"," ADD"," UPC"," VTO"," VTO Url"," Lens Option"," Gender Man"," Gender Woman"," B2B Option"," Ek Price"," Discount"," Photo"
"1","ACP-990L  AUTO CHART PROJECTOR 2","ACP-990L  AUTO CHART PROJECTOR ","495","495","","4","m","default","active","0","147","167","","6","ACP-990L","","","","","yes","34","Optometrie","enable","3","ss","","","","","","","123456","0","","0","0","0","1","330","0","PR-ACP990L.jpg"
"2","ACP-300 LED VISION CHARTS(21.5"")","ACP-300 LED VISION CHARTS(21.5"")","470","470","","10","m","default","active","0","147","167","","6","ACP-300","","","","","yes","34","Optometrie","enable","3","","","","","","","","123457","0","","0","0","0","1","235","0","pr-acp300296.jpg"
"3","DESK SUPPORT FOR ACP-901","DESK SUPPORT FOR ACP-900","76","76","","10","m","default","active","0","147","167","","6","DESK","","","","","yes","34","Optometrie","enable","3","","","","","","","","123458","0","","0","0","0","1","38","0",""
"4","ACP-905 LED VISION CHARTS(23"")","ACP-905 LED VISION CHARTS(23"")","1530","1,530","","10","m","default","active","0","147","167","","6","ACP-905","","","","","yes","34","Optometrie","enable","3","","","","","","","","123459","0","","0","0","0","1","765","0","pr-acp905300.jpg"
"5","ACP-905P LED VISION CHARTS(23"" POLARIZATION SCREEN)","ACP-905P LED VISION CHARTS(23"" POLARIZATION SCREEN)","2800","2,800","","10","m","default","active","0","147","167","","6","ACP-905P","","","","","yes","34","Optometrie","enable","3","","","","","","","","123460","0","","0","0","0","1","1400","0","pr-acp905300.jpg"
"6","ACP-908 LED VISION CHARTS(21.5"" SCREEN)","ACP-908 LED VISION CHARTS(21.5"" SCREEN)","460","460","","10","m","default","active","0","147","167","","6","ACP-908","","","","","yes","34","Optometrie","enable","3","","","","","","","","123461","0","","0","0","0","1","230","0","pr-acp908302.jpg"
"7","ACP-1500  AUTO CHART PROJECTOR ","ACP-1500  AUTO CHART PROJECTOR ","980","980","","9","m","default","active","0","147","167","","6","ACP-1500","","","","","yes","34","Optometrie","enable","3","","","","","","","","123462","0","","0","0","0","1","490","0","pr-acp-1500305.jpg"
"8","ALE-903A AUTO LENS EDGER ","ALE-903A AUTO LENS EDGER ","1890","1,890","","10","m","default","active","0","147","167","","6","ALE-903A","","","","","yes","34","Optometrie","enable","3","","","","","","","","123463","0","","0","0","0","1","945","0",""
"9","ALE-904A  AUTO LENS EDGER(PC WHEEL)","ALE-904A  AUTO LENS EDGER(PC WHEEL)","2490","2,490","","10","m","default","active","0","147","167","","6","ALE-904A","","","","","yes","34","Optometrie","enable","3","","","","","","","","123464","0","","0","0","0","1","1245","0",""
"10","ALE-905A AUTO LENS EDGER(CR-39 WHEEL)","ALE-905A AUTO LENS EDGER(CR-39 WHEEL)","2210","2,210","","10","m","default","active","0","147","167","","6","ALE-905A","","","","","yes","34","Optometrie","enable","3","","","","","","","","123465","0","","0","0","0","1","1105","0","pr-ale-905307.jpg"
"11","ALE-906A AUTO LENS EDGER(PC WHEEL)","ALE-906A AUTO LENS EDGER(PC WHEEL)","2310","2,310","","10","m","default","active","0","147","167","","6","ALE-906A","","","","","yes","34","Optometrie","enable","3","","","","","","","","123466","0","","0","0","0","1","1155","0","pr-ale-906308.jpg"
"12","ALE-907A AUTO LENS EDGER(PC WHEEL)","ALE-907A AUTO LENS EDGER(PC WHEEL)","2490","2,490","","10","m","default","active","0","147","167","","6","ALE-907A","","","","","yes","34","Optometrie","enable","3","","","","","","","","123467","0","","0","0","0","1","1245","0","pr-ale-907309.jpg"
