id;title;description/summary;price;base_price;discounted_price;QUANTITY;size;condition;status;is_featured;cat_id;subcat_id;childcat_id;brand_id;SKU;weight;lenght;height;widht;is_physical;warehouse;template;backorder;discount_option;SPH;DIA;CYL;AXIS;RAD;color;ADD;UPC;VTO;VTO_url;lens_option;gender_man;gender_woman;b2b_option;ek_price;discount;photo
;10-181036-C NOSE PAD SCREWS;10000Stk.;42;42;;10;m;default;1;0;188;91;NULL;6;10-181036-C;;;;;yes;34;;enable;3;;;;;;;;123589;0;;0;0;0;1;;0;
;210-181038-B NOSE PAD SCREWS;10000Stk.;90;90;;10;m;default;1;0;188;91;NULL;6;210-181038-B;;;;;yes;34;;enable;3;;;;;;;;123590;0;;0;0;0;1;;0;
;23-141040 NOSE PAD SCREWS;10000Stk.;236;236;;10;m;default;1;0;188;91;NULL;6;23-141040;;;;;yes;34;;enable;3;;;;;;;;123591;0;;0;0;0;1;;0;
;23-141040-C NOSE PAD SCREWS;10000Stk.;42;42;;10;m;default;1;0;188;91;NULL;6;23-141040-C;;;;;yes;34;;enable;3;;;;;;;;123592;0;;0;0;0;1;;0;
;13-141044-B NOSE PAD SCREWS;10000Stk.;90;90;;10;m;default;1;0;188;91;NULL;6;13-141044-B;;;;;yes;34;;enable;3;;;;;;;;123593;0;;0;0;0;1;;0;
;10-181065B NOSE PAD SCREWS;10000Stk.;386;386;;10;m;default;1;0;188;91;NULL;6;10-181065B;;;;;yes;34;;enable;3;;;;;;;;123594;0;;0;0;0;1;;0;
;10-181235 NOSE PAD SCREWS;10000Stk.;236;236;;10;m;default;1;0;188;91;NULL;6;10-181235;;;;;yes;34;;enable;3;;;;;;;;123595;0;;0;0;0;1;;0;
;10-181235-C NOSE PAD SCREWS;10000Stk.;42;42;;10;m;default;1;0;188;91;NULL;6;10-181235-C;;;;;yes;34;;enable;3;;;;;;;;123596;0;;0;0;0;1;;0;
;20-1813115F SELF-CUTTING SCREWS WITH TRANSPARENT INSERT;10000Stk.;1940;1940;;10;m;default;1;0;188;91;NULL;6;20-1813115F;;;;;yes;34;;enable;3;;;;;;;;123597;0;;0;0;0;1;;0;
;20-1815115F SELF-CUTTING SCREWS WITH TRANSPARENT INSERT;10000Stk.;1940;1940;;10;m;default;1;0;188;91;NULL;6;20-1815115F;;;;;yes;34;;enable;3;;;;;;;;123598;0;;0;0;0;1;;0;
;13-161232-B RIMLOCK SCREWS;10000Stk.;90;90;;10;m;default;1;0;188;91;NULL;6;13-161232-B;;;;;yes;34;;enable;3;;;;;;;;123599;0;;0;0;0;1;;0;
